,full_name,used_name,kraj,kraj_skrot,wzrost,waga,plec,data_urodz,zdj,kolor_odl,kolor_hex,kolor_rgb
826,Chuhei Nanbu,Chuhei Nanbu,Japan,JPN,170,67,Male,1904-05-24,http://d2a3o6pzho379u.cloudfront.net/72553.jpg,300.66,#be2f2f,"[190, 47, 47]"
827,Mikio Oda,Mikio Oda,Japan,JPN,167,65,Male,1905-03-30,http://d2a3o6pzho379u.cloudfront.net/72564.jpg,237.75,#9f6565,"[159, 101, 101]"
828,N. Yamaguchi,N. Yamaguchi,Japan,JPN,None,None,Male,1905-03-30,None,brak zdj,brak zdj,brak zdj
829,Yonetaro Nakazawa,Yonetaro Nakazawa,Japan,JPN,None,None,Male,1903-09-26,http://d2a3o6pzho379u.cloudfront.net/72552.jpg,275.2,#a44649,"[163, 69, 72]"
830,Tatsuo Toki,Tatsuo Toki,Japan,JPN,None,None,Male,1904-03-31,None,brak zdj,brak zdj,brak zdj
831,Haydar Aşan,Haydar Aşan,Türkiye,TUR,None,None,Male,1906-04-16,http://d2a3o6pzho379u.cloudfront.net/76993.jpg,242.1,#cb5858,"[203, 87, 87]"
832,Antal Odri (Ostián-),Antal Odri,Hungary,HUN,None,None,Male,1900-12-25,http://d2a3o6pzho379u.cloudfront.net/71250.jpg,281.19,#984b41,"[152, 75, 64]"
833,J. Nagy,J. Nagy,Hungary,HUN,None,None,Male,1900-12-25,None,brak zdj,brak zdj,brak zdj
834,José Vicente Salinas Veragua,José Vicente Salinas,Chile,CHI,175,69,Male,1904-04-05,http://d2a3o6pzho379u.cloudfront.net/66400.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
835,"Anton ""Toon"" van Welsenes",Toon van Welsenes,Netherlands,NED,None,None,Male,1903-10-07,http://d2a3o6pzho379u.cloudfront.net/73906.jpg,221.84,#9f7370,"[159, 115, 111]"
836,Hannes de Boer,Hannes de Boer,Netherlands,NED,None,None,Male,1899-12-02,http://d2a3o6pzho379u.cloudfront.net/73798.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
837,Virgil Ioan,Virgil Ioan,Romania,ROU,None,None,Male,1908-01-01,None,brak zdj,brak zdj,brak zdj
